Time [s],Packet ID,MOSI,MISO
0.000000990,0,0x001700,0xFFFF1A
0.000281915,1,0x801401,0x000000
0.000346885,2,0x800470,0x000000
0.000403455,3,0x823A4A,0x000000
0.000538760,4,0x8239C1,0x000000
0.000620775,5,0x824217,0x000000
0.000668940,6,0x823878,0x000000
0.000742795,7,0x824500,0x000000
0.000785440,8,0x82510E,0x000000
0.000834090,9,0x825070,0x000000
0.000880815,10,0x823B96,0x000000
0.001015400,11,0x823ED4,0x000000
0.001044605,12,0x823FDF,0x000000
0.001070125,13,0x824009,0x000000
0.001148620,14,0x82332D,0x000000
0.001202550,15,0x823433,0x000000
0.001283605,16,0x823533,0x000000
0.001322650,17,0x823200,0x000000
0.001438270,18,0x823158,0x000000
0.001468675,19,0x800555,0x000000
0.003784420,20,0x024700,0x000002
0.003966930,21,0x810900,0x000000
0.004021340,22,0x810C00,0x000000
0.004065425,23,0x807740,0x000000
0.004130635,24,0x807C40,0x000000
0.004181925,25,0x807367,0x000000
0.004234655,26,0x807401,0x000000
0.004337790,27,0x807740,0x000000
0.004391000,28,0x807C40,0x000000
0.004442530,29,0x807567,0x000000
0.004489255,30,0x807601,0x000000
0.004557350,31,0x801421,0x000000
