Time [s],Packet ID,MOSI,MISO
0.000000985,0,0x001700,0xFFFF1A
0.000453540,1,0x801401,0x000000
0.000525475,2,0x800470,0x000000
0.000592605,3,0x823A4A,0x000000
0.000760315,4,0x8239C1,0x000000
0.000824085,5,0x82420E,0x000000
0.000887135,6,0x823878,0x000000
0.000995550,7,0x824500,0x000000
0.001172140,8,0x82510B,0x000000
0.001262075,9,0x825070,0x000000
0.001351050,10,0x823B91,0x000000
0.001466430,11,0x823ED4,0x000000
0.001592610,12,0x823FDF,0x000000
0.001656380,13,0x824009,0x000000
0.001781365,14,0x823300,0x000000
0.001961075,15,0x823400,0x000000
0.002028925,16,0x823500,0x000000
0.002093415,17,0x823200,0x000000
0.002270965,18,0x823164,0x000000
0.002336895,19,0x800552,0x000000
0.004563905,20,0x024700,0x000002
0.005042145,21,0x810900,0x000000
0.005115035,22,0x810C00,0x000000
0.005205930,23,0x807740,0x000000
0.005408925,24,0x807C40,0x000000
0.005547830,25,0x807367,0x000000
0.005608720,26,0x807401,0x000000
0.005675130,27,0x807740,0x000000
0.005804670,28,0x807C40,0x000000
0.005869400,29,0x807567,0x000000
0.005949255,30,0x807601,0x000000
0.006146725,31,0x801421,0x000000
