Time [s],Packet ID,MOSI,MISO
0.000000990,0,0x001700,0xFFFF1A
0.000411775,1,0x801401,0x000000
0.000517555,2,0x800470,0x000000
0.000587085,3,0x823A4A,0x000000
0.000728150,4,0x8239C1,0x000000
0.000788080,5,0x82420E,0x000000
0.000857610,6,0x823878,0x000000
0.000994350,7,0x824500,0x000000
0.001205505,8,0x82510B,0x000000
0.001289920,9,0x825070,0x000000
0.001388255,10,0x823B91,0x000000
0.001480115,11,0x823ED4,0x000000
0.001642780,12,0x823FDF,0x000000
0.001725995,13,0x824009,0x000000
0.001784725,14,0x8233CB,0x000000
0.001952430,15,0x8234CC,0x000000
0.002108375,16,0x82350C,0x000000
0.002176710,17,0x823200,0x000000
0.002235920,18,0x823164,0x000000
0.002427870,19,0x800552,0x000000
0.004977730,20,0x024700,0x000002
0.005369795,21,0x810900,0x000000
0.005466210,22,0x810C00,0x000000
0.005520860,23,0x807740,0x000000
0.005653765,24,0x807C40,0x000000
0.005838275,25,0x807367,0x000000
0.005904445,26,0x807401,0x000000
0.006005900,27,0x807740,0x000000
0.006126080,28,0x807C40,0x000000
0.006191770,29,0x807567,0x000000
0.006310270,30,0x807601,0x000000
0.006429730,31,0x801421,0x000000
