Time [s],Packet ID,MOSI,MISO
0.000000990,0,0x001700,0xFFFF1A
0.000417780,1,0x801401,0x000000
0.000515635,2,0x800470,0x000000
0.000584450,3,0x823A4A,0x000000
0.000712790,4,0x8239C0,0x000000
0.000773920,5,0x82420D,0x000000
0.000841770,6,0x823868,0x000000
0.000977075,7,0x824500,0x000000
0.001111655,8,0x825109,0x000000
0.001176865,9,0x825070,0x000000
0.001315530,10,0x823B93,0x000000
0.001375700,11,0x823ED4,0x000000
0.001447630,12,0x823FDF,0x000000
0.001597335,13,0x824009,0x000000
0.001740800,14,0x823300,0x000000
0.001813210,15,0x823400,0x000000
0.001884185,16,0x823500,0x000000
0.001943155,17,0x823200,0x000000
0.002078455,18,0x823170,0x000000
0.002219760,19,0x800556,0x000000
0.004938130,20,0x024700,0x000002
0.005395245,21,0x810900,0x000000
0.005463815,22,0x810C00,0x000000
0.005538625,23,0x807740,0x000000
0.005687850,24,0x807C40,0x000000
0.005766745,25,0x807367,0x000000
0.005839635,26,0x807401,0x000000
0.005977100,27,0x807740,0x000000
0.006043030,28,0x807C40,0x000000
0.006107520,29,0x807567,0x000000
0.006262745,30,0x807601,0x000000
0.006389650,31,0x801421,0x000000
